Name,Age_Group,Gender,Geography,Education,Occupation,Caste,Voted_Party
Anita Kumar,50-59,Female,Urban,12th Pass,Housewife,Muslim,MGB
Rekha Kumar,50-59,Female,Rural,Not Gone to School,Student,OBC,NDA
Manju Mishra,30-39,Female,Rural,Not Gone to School,Housewife,OBC,JSP
Manju Kumar,60-69,Female,Rural,Not Gone to School,Farmer,EBC,MGB
Pooja Paswan,60-69,Female,Rural,Not Gone to School,Farmer,EBC,Others
Deepak Mishra,20-29,Male,Rural,12th Pass,Farmer,EBC,NDA
Amit Manjhi,20-29,Male,Urban,Not Gone to School,Housewife,Yadav,MGB
Anita Khatoon,20-29,Female,Rural,10th Pass,Housewife,Muslim,MGB
Neha Yadav,20-29,Female,Rural,Not Gone to School,Labour,OBC,MGB
Manju Ali,50-59,Female,Rural,10th Pass,Skilled Professional,OBC,Others
Rahul Ansari,30-39,Male,Rural,Upto 9th,Labour,EBC,NDA
Anita Paswan,30-39,Female,Rural,Professional Education,Labour,Yadav,MGB
Neha Khatoon,30-39,Female,Rural,12th Pass,Student,SC,MGB
Deepak Paswan,40-49,Male,Rural,12th Pass,Housewife,Yadav,MGB
Fatima Singh,60-69,Female,Rural,Upto 9th,Labour,General,NDA
Deepak Kumar,50-59,Male,Rural,Not Gone to School,Housewife,SC,NDA
Anita Ansari,40-49,Female,Rural,10th Pass,Farmer,SC,MGB
Rajeev Ansari,60-69,Male,Urban,Not Gone to School,Farmer,EBC,NDA
Mohammad Mishra,30-39,Male,Rural,10th Pass,Housewife,SC,NDA
Amit Choudhary,60-69,Male,Rural,Upto 9th,Farmer,Muslim,MGB
Neha Ali,40-49,Female,Rural,Upto 9th,Skilled Professional,General,NDA
Abdul Ansari,20-29,Male,Rural,Upto 9th,Farmer,Muslim,MGB
Aisha Ali,30-39,Female,Rural,Upto 9th,Housewife,OBC,MGB
Abdul Paswan,40-49,Male,Rural,Upto 9th,Housewife,Muslim,MGB
Mukesh Singh,30-39,Male,Urban,10th Pass,Farmer,Muslim,MGB
Mukesh Manjhi,20-29,Male,Rural,Upto 9th,Farmer,General,NDA
Aisha Yadav,40-49,Female,Rural,Upto 9th,Farmer,Yadav,MGB
Rajeev Mishra,40-49,Male,Rural,Graduate,Labour,EBC,NDA
Rajeev Paswan,50-59,Male,Rural,10th Pass,Housewife,SC,NDA
Deepak Singh,20-29,Male,Urban,Not Gone to School,Pvt. Service,OBC,NDA
Anita Kumar,20-29,Female,Rural,Upto 9th,Labour,Muslim,MGB
Neha Sharma,30-39,Female,Urban,12th Pass,Housewife,Muslim,MGB
Rajeev Ali,20-29,Male,Rural,Not Gone to School,Student,OBC,MGB
Rajeev Manjhi,30-39,Male,Rural,Graduate,Labour,SC,NDA
Rajeev Ansari,70 & Above,Male,Rural,Not Gone to School,Others,SC,MGB
Amit Sharma,20-29,Male,Rural,Not Gone to School,Labour,EBC,Others
Rahul Mishra,20-29,Male,Rural,Upto 9th,Farmer,General,NDA
Rahul Ali,40-49,Male,Rural,Not Gone to School,Housewife,General,NDA
Fatima Ali,50-59,Female,Urban,Not Gone to School,Housewife,Muslim,MGB
Sanjay Yadav,40-49,Male,Rural,Graduate,Farmer,EBC,MGB
Mukesh Yadav,30-39,Male,Rural,Upto 9th,Farmer,SC,NDA
Vikash Khatoon,50-59,Male,Rural,Not Gone to School,Housewife,Yadav,MGB
Sanjay Khatoon,30-39,Male,Rural,12th Pass,Pvt. Service,Yadav,MGB
Priyanka Paswan,60-69,Female,Urban,Not Gone to School,Farmer,General,JSP
Rahul Manjhi,60-69,Male,Rural,Upto 9th,Housewife,General,NDA
Rahul Mishra,50-59,Male,Rural,Graduate,Skilled Professional,General,NDA
Sanjay Choudhary,70 & Above,Male,Urban,Upto 9th,Skilled Professional,EBC,Others
Pooja Yadav,20-29,Female,Urban,Not Gone to School,Labour,OBC,NDA
Rekha Ansari,30-39,Female,Rural,Not Gone to School,Unemployed,Yadav,Others
Amit Singh,20-29,Male,Rural,Professional Education,Pvt. Service,EBC,MGB
Mukesh Kumar,30-39,Male,Rural,Not Gone to School,Farmer,EBC,MGB
Amit Singh,20-29,Male,Rural,Upto 9th,Others,OBC,MGB
Neha Kumar,70 & Above,Female,Rural,10th Pass,Farmer,OBC,NDA
Aisha Mishra,20-29,Female,Rural,Upto 9th,Housewife,General,NDA
Sanjay Kumar,30-39,Male,Rural,Upto 9th,Labour,SC,Others
Aisha Sharma,30-39,Female,Rural,Not Gone to School,Labour,General,NDA
Pooja Choudhary,20-29,Female,Rural,Upto 9th,Farmer,Muslim,MGB
Fatima Yadav,40-49,Female,Rural,Graduate,Farmer,General,NDA
Amit Sharma,30-39,Male,Rural,Not Gone to School,Pvt. Service,EBC,MGB
Sunita Ansari,30-39,Female,Rural,Graduate,Labour,OBC,Others
Priyanka Ali,40-49,Female,Rural,10th Pass,Labour,SC,NDA
Vikash Ali,70 & Above,Male,Rural,12th Pass,Farmer,SC,NDA
Amit Choudhary,20-29,Male,Rural,Not Gone to School,Farmer,General,NDA
Mohammad Yadav,70 & Above,Male,Urban,Not Gone to School,Labour,General,NDA
Vikash Yadav,40-49,Male,Rural,Graduate,Self Occupation & Small Shop,Yadav,MGB
Mohammad Ansari,20-29,Male,Rural,10th Pass,Housewife,General,NDA
Sanjay Sharma,30-39,Male,Rural,Graduate,Skilled Professional,General,NDA
Vikash Paswan,40-49,Male,Rural,Graduate,Others,OBC,NDA
Aisha Singh,30-39,Female,Rural,Upto 9th,Pvt. Service,EBC,NDA
Neha Ansari,40-49,Female,Rural,Graduate,Farmer,SC,MGB
Rahul Sharma,20-29,Male,Rural,Not Gone to School,Housewife,General,MGB
Aisha Sharma,50-59,Female,Rural,12th Pass,Labour,General,NDA
Neha Ansari,70 & Above,Female,Urban,10th Pass,Labour,Muslim,MGB
Ranjeet Khatoon,70 & Above,Male,Rural,12th Pass,Labour,SC,NDA
Aisha Mishra,20-29,Female,Rural,Not Gone to School,Pvt. Service,SC,NDA
Rahul Paswan,30-39,Male,Urban,10th Pass,Farmer,SC,NDA
Mohammad Manjhi,20-29,Male,Rural,Upto 9th,Student,EBC,MGB
Anita Choudhary,40-49,Female,Rural,Upto 9th,Skilled Professional,SC,NDA
Kavita Sharma,20-29,Female,Urban,Upto 9th,Farmer,EBC,NDA
Sunita Ansari,60-69,Female,Rural,Upto 9th,Self Occupation & Small Shop,General,NDA
Deepak Choudhary,30-39,Male,Rural,Graduate,Housewife,OBC,NDA
Sanjay Choudhary,20-29,Male,Urban,12th Pass,Labour,General,NDA
Amit Singh,60-69,Male,Rural,10th Pass,Labour,OBC,NDA
Aisha Ali,30-39,Female,Rural,10th Pass,Others,Muslim,NDA
Sanjay Ali,20-29,Male,Rural,Not Gone to School,Housewife,SC,MGB
Mukesh Sharma,30-39,Male,Rural,12th Pass,Pvt. Service,Muslim,MGB
Sunita Sharma,30-39,Female,Rural,Professional Education,Housewife,Yadav,NDA
Mukesh Manjhi,30-39,Male,Rural,Not Gone to School,Student,Muslim,JSP
Neha Manjhi,20-29,Female,Rural,Not Gone to School,Farmer,Muslim,MGB
Sunita Paswan,70 & Above,Female,Rural,Upto 9th,Pvt. Service,Muslim,MGB
Mukesh Ansari,60-69,Male,Rural,10th Pass,Unemployed,General,JSP
Amit Singh,20-29,Male,Rural,10th Pass,Farmer,OBC,MGB
Pooja Mishra,20-29,Female,Rural,Not Gone to School,Housewife,EBC,NDA
Amit Mishra,20-29,Male,Rural,Upto 9th,Farmer,Yadav,MGB
Pooja Ansari,40-49,Female,Rural,Upto 9th,Housewife,General,JSP
Ranjeet Ali,70 & Above,Male,Rural,10th Pass,Pvt. Service,Yadav,MGB
Rekha Khatoon,30-39,Female,Rural,Not Gone to School,Farmer,EBC,MGB
Fatima Paswan,30-39,Female,Rural,Post-Graduate,Pvt. Service,General,NDA
Rekha Yadav,40-49,Female,Rural,Upto 9th,Farmer,General,Others
Mohammad Khatoon,50-59,Male,Rural,10th Pass,Pvt. Service,General,NDA
Kavita Manjhi,30-39,Female,Rural,Upto 9th,Housewife,OBC,MGB
Anita Choudhary,40-49,Female,Rural,Graduate,Labour,Muslim,Others
Rajeev Ali,20-29,Male,Rural,Not Gone to School,Housewife,SC,MGB
Priyanka Sharma,40-49,Female,Rural,Graduate,Others,EBC,NDA
Abdul Khatoon,20-29,Male,Rural,Professional Education,Labour,General,JSP
Mukesh Khatoon,40-49,Male,Rural,12th Pass,Unemployed,Yadav,NDA
Sunita Manjhi,60-69,Female,Rural,Professional Education,Farmer,OBC,MGB
Sanjay Paswan,30-39,Male,Rural,Not Gone to School,Farmer,General,NDA
Sanjay Singh,30-39,Male,Rural,Post-Graduate,Farmer,Muslim,NDA
Rekha Khatoon,20-29,Female,Rural,Not Gone to School,Housewife,Muslim,MGB
Sanjay Mishra,40-49,Male,Rural,Upto 9th,Housewife,ST,Others
Rahul Singh,40-49,Male,Rural,Upto 9th,Self Occupation & Small Shop,EBC,NDA
Abdul Singh,40-49,Male,Rural,10th Pass,Housewife,Muslim,NDA
Vikash Kumar,20-29,Male,Rural,10th Pass,Pvt. Service,OBC,NDA
Sanjay Choudhary,60-69,Male,Rural,Upto 9th,Farmer,Yadav,MGB
Amit Kumar,40-49,Male,Rural,10th Pass,Student,SC,MGB
Sanjay Ali,40-49,Male,Rural,Graduate,Others,Yadav,NDA
Fatima Mishra,40-49,Female,Urban,Upto 9th,Housewife,EBC,MGB
Mohammad Mishra,60-69,Male,Rural,Post-Graduate,Unemployed,Muslim,MGB
Ranjeet Sharma,70 & Above,Male,Rural,Upto 9th,Labour,OBC,JSP
Priyanka Ansari,50-59,Female,Rural,Graduate,Others,Muslim,MGB
Sunita Sharma,60-69,Female,Rural,12th Pass,Self Occupation & Small Shop,EBC,JSP
Deepak Paswan,30-39,Male,Rural,Not Gone to School,Self Occupation & Small Shop,SC,Others
Manju Kumar,40-49,Female,Rural,Upto 9th,Farmer,SC,MGB
Ranjeet Manjhi,18-19,Male,Rural,Upto 9th,Self Occupation & Small Shop,EBC,NDA
Mukesh Ansari,50-59,Male,Urban,12th Pass,Housewife,Yadav,Others
Amit Manjhi,70 & Above,Male,Rural,Not Gone to School,Housewife,OBC,NDA
Pooja Kumar,30-39,Female,Rural,10th Pass,Housewife,SC,NDA
Kavita Ansari,50-59,Female,Rural,Upto 9th,Unemployed,OBC,NDA
Priyanka Yadav,20-29,Female,Rural,Upto 9th,Housewife,Muslim,Others
Anita Ansari,20-29,Female,Rural,Not Gone to School,Pvt. Service,General,NDA
Neha Ansari,40-49,Female,Rural,Not Gone to School,Farmer,General,NDA
Sanjay Sharma,50-59,Male,Urban,10th Pass,Housewife,EBC,NDA
Neha Choudhary,30-39,Female,Rural,12th Pass,Labour,Yadav,MGB
Mohammad Kumar,60-69,Male,Rural,Not Gone to School,Farmer,Muslim,MGB
Fatima Singh,70 & Above,Female,Rural,Not Gone to School,Housewife,Yadav,MGB
Mohammad Kumar,40-49,Male,Rural,Graduate,Pvt. Service,General,MGB
Amit Paswan,30-39,Male,Rural,10th Pass,Labour,EBC,MGB
Rahul Kumar,50-59,Male,Rural,Graduate,Housewife,Muslim,Others
Kavita Choudhary,18-19,Female,Rural,Upto 9th,Pvt. Service,EBC,MGB
Rajeev Ali,30-39,Male,Rural,Not Gone to School,Farmer,SC,Others
Mukesh Kumar,40-49,Male,Rural,Graduate,Unemployed,OBC,NDA
Priyanka Sharma,30-39,Female,Rural,Post-Graduate,Others,EBC,NDA
Vikash Khatoon,20-29,Male,Rural,10th Pass,Pvt. Service,General,NDA
Mukesh Yadav,20-29,Male,Urban,10th Pass,Labour,Yadav,MGB
Ranjeet Mishra,60-69,Male,Rural,Post-Graduate,Labour,SC,NDA
Mohammad Choudhary,40-49,Male,Rural,10th Pass,Farmer,EBC,Others
Abdul Choudhary,40-49,Male,Rural,Graduate,Labour,SC,MGB
Aisha Mishra,20-29,Female,Rural,Not Gone to School,Labour,EBC,Others
Abdul Mishra,20-29,Male,Rural,Post-Graduate,Labour,General,Others
Mohammad Manjhi,40-49,Male,Rural,Upto 9th,Unemployed,Muslim,MGB
Rekha Khatoon,20-29,Female,Rural,10th Pass,Labour,EBC,NDA
Abdul Khatoon,40-49,Male,Rural,Post-Graduate,Housewife,EBC,MGB
Pooja Paswan,30-39,Female,Rural,10th Pass,Farmer,EBC,MGB
Abdul Ali,40-49,Male,Rural,Upto 9th,Unemployed,Yadav,MGB
Rahul Singh,70 & Above,Male,Rural,Not Gone to School,Student,ST,MGB
Anita Paswan,50-59,Female,Rural,Not Gone to School,Housewife,SC,NDA
Manju Manjhi,40-49,Female,Urban,Graduate,Skilled Professional,Muslim,MGB
Rekha Choudhary,20-29,Female,Rural,Upto 9th,Labour,OBC,NDA
Anita Kumar,60-69,Female,Rural,Not Gone to School,Housewife,Yadav,MGB
Rekha Singh,40-49,Female,Rural,Not Gone to School,Self Occupation & Small Shop,SC,NDA
Aisha Ansari,20-29,Female,Rural,10th Pass,Farmer,Muslim,MGB
Priyanka Sharma,30-39,Female,Rural,Not Gone to School,Farmer,Yadav,MGB
Kavita Paswan,30-39,Female,Rural,Not Gone to School,Skilled Professional,Muslim,MGB
Aisha Mishra,50-59,Female,Rural,12th Pass,Self Occupation & Small Shop,SC,Others
Sunita Kumar,30-39,Female,Rural,10th Pass,Skilled Professional,Muslim,MGB
Priyanka Mishra,20-29,Female,Urban,Graduate,Housewife,Yadav,MGB
Aisha Choudhary,20-29,Female,Urban,Upto 9th,Self Occupation & Small Shop,EBC,NDA
Aisha Kumar,30-39,Female,Rural,Upto 9th,Unemployed,Muslim,MGB
Rahul Choudhary,40-49,Male,Rural,10th Pass,Labour,EBC,MGB
Amit Khatoon,50-59,Male,Rural,10th Pass,Skilled Professional,Muslim,MGB
Deepak Mishra,30-39,Male,Rural,Not Gone to School,Labour,Muslim,Others
Aisha Khatoon,60-69,Female,Rural,Not Gone to School,Pvt. Service,Yadav,MGB
Neha Sharma,20-29,Female,Rural,Upto 9th,Housewife,SC,NDA
Priyanka Mishra,40-49,Female,Rural,Upto 9th,Farmer,Muslim,MGB
Abdul Kumar,40-49,Male,Rural,Graduate,Farmer,EBC,MGB
Neha Khatoon,18-19,Female,Rural,Not Gone to School,Housewife,Muslim,MGB
Abdul Paswan,60-69,Male,Rural,10th Pass,Others,EBC,NDA
Sanjay Paswan,20-29,Male,Rural,Post-Graduate,Farmer,EBC,NDA
Rekha Ansari,30-39,Female,Urban,10th Pass,Farmer,Muslim,MGB
Rahul Ali,30-39,Male,Rural,Post-Graduate,Labour,General,MGB
Neha Ansari,50-59,Female,Rural,Post-Graduate,Pvt. Service,EBC,Others
Amit Manjhi,30-39,Male,Rural,10th Pass,Labour,SC,Others
Ranjeet Choudhary,30-39,Male,Rural,Graduate,Farmer,EBC,NDA
Sunita Kumar,30-39,Female,Rural,Not Gone to School,Farmer,Yadav,MGB
Vikash Singh,50-59,Male,Rural,10th Pass,Farmer,OBC,JSP
Neha Manjhi,30-39,Female,Rural,Not Gone to School,Farmer,OBC,NDA
Fatima Ali,30-39,Female,Rural,Graduate,Skilled Professional,Muslim,MGB
Mohammad Ali,60-69,Male,Rural,12th Pass,Student,OBC,NDA
Aisha Mishra,18-19,Female,Rural,12th Pass,Housewife,Muslim,MGB
Anita Mishra,20-29,Female,Rural,Professional Education,Housewife,General,NDA
Vikash Ali,30-39,Male,Rural,Not Gone to School,Housewife,SC,NDA
Anita Yadav,40-49,Female,Urban,Graduate,Labour,EBC,NDA
Fatima Mishra,20-29,Female,Rural,10th Pass,Labour,Yadav,MGB
Manju Sharma,60-69,Female,Rural,10th Pass,Housewife,EBC,Others
Sunita Manjhi,30-39,Female,Rural,10th Pass,Unemployed,General,JSP
Manju Mishra,40-49,Female,Rural,12th Pass,Pvt. Service,SC,NDA
Rajeev Sharma,50-59,Male,Rural,Graduate,Labour,EBC,NDA
Aisha Khatoon,30-39,Female,Rural,Upto 9th,Labour,General,NDA
Kavita Choudhary,30-39,Female,Urban,Upto 9th,Labour,SC,MGB
Rekha Kumar,50-59,Female,Rural,Not Gone to School,Self Occupation & Small Shop,SC,Others
Abdul Sharma,20-29,Male,Urban,12th Pass,Farmer,EBC,NDA
Abdul Sharma,40-49,Male,Rural,10th Pass,Pvt. Service,ST,MGB
Mohammad Mishra,20-29,Male,Rural,Not Gone to School,Others,General,NDA
Ranjeet Yadav,30-39,Male,Rural,12th Pass,Student,SC,NDA
Priyanka Ansari,60-69,Female,Urban,Graduate,Others,SC,Others
Deepak Kumar,20-29,Male,Rural,12th Pass,Pvt. Service,EBC,NDA
Amit Khatoon,20-29,Male,Rural,Graduate,Labour,Muslim,Others
Aisha Ali,70 & Above,Female,Rural,Not Gone to School,Others,OBC,Others
Rekha Mishra,40-49,Female,Rural,Not Gone to School,Housewife,SC,NDA
Neha Sharma,30-39,Female,Rural,Upto 9th,Unemployed,Muslim,MGB
Rahul Singh,50-59,Male,Rural,Not Gone to School,Unemployed,Yadav,MGB
Manju Mishra,20-29,Female,Rural,12th Pass,Self Occupation & Small Shop,Yadav,MGB
Priyanka Kumar,30-39,Female,Rural,Not Gone to School,Pvt. Service,Muslim,MGB
Rajeev Ali,30-39,Male,Rural,Upto 9th,Farmer,General,NDA
Aisha Paswan,40-49,Female,Urban,12th Pass,Self Occupation & Small Shop,EBC,NDA
Sanjay Khatoon,40-49,Male,Rural,Not Gone to School,Housewife,SC,Others
Rahul Choudhary,30-39,Male,Rural,Not Gone to School,Labour,OBC,NDA
Manju Choudhary,30-39,Female,Rural,Upto 9th,Housewife,OBC,NDA
Vikash Khatoon,50-59,Male,Rural,Upto 9th,Pvt. Service,Muslim,MGB
Sanjay Mishra,20-29,Male,Rural,12th Pass,Self Occupation & Small Shop,OBC,NDA
Sanjay Singh,20-29,Male,Rural,10th Pass,Others,General,NDA
Mukesh Khatoon,50-59,Male,Rural,Upto 9th,Farmer,General,MGB
Amit Singh,50-59,Male,Rural,12th Pass,Housewife,General,Others
Sanjay Singh,40-49,Male,Rural,10th Pass,Self Occupation & Small Shop,EBC,JSP
Vikash Khatoon,50-59,Male,Rural,Not Gone to School,Housewife,EBC,JSP
Sanjay Yadav,40-49,Male,Rural,Upto 9th,Labour,Muslim,MGB
Deepak Ansari,30-39,Male,Rural,Upto 9th,Housewife,EBC,NDA
Priyanka Paswan,70 & Above,Female,Rural,12th Pass,Skilled Professional,EBC,NDA
Rajeev Ansari,20-29,Male,Rural,10th Pass,Farmer,Muslim,MGB
Vikash Paswan,20-29,Male,Rural,12th Pass,Others,OBC,NDA
Rajeev Singh,50-59,Male,Rural,Professional Education,Farmer,EBC,NDA
Abdul Singh,20-29,Male,Rural,Graduate,Housewife,Yadav,MGB
Pooja Yadav,50-59,Female,Rural,Graduate,Unemployed,General,NDA
Pooja Choudhary,30-39,Female,Rural,12th Pass,Housewife,Yadav,MGB
Rahul Khatoon,20-29,Male,Rural,Upto 9th,Farmer,SC,NDA
Rahul Paswan,40-49,Male,Rural,10th Pass,Others,General,NDA
Rajeev Kumar,40-49,Male,Rural,12th Pass,Others,Yadav,MGB
Mohammad Kumar,50-59,Male,Rural,10th Pass,Housewife,Yadav,MGB
Vikash Kumar,40-49,Male,Rural,Upto 9th,Labour,Muslim,MGB
Aisha Ali,20-29,Female,Rural,10th Pass,Labour,General,NDA
Mohammad Singh,70 & Above,Male,Rural,Upto 9th,Housewife,OBC,MGB
Rekha Kumar,20-29,Female,Rural,Not Gone to School,Housewife,EBC,NDA
Aisha Mishra,30-39,Female,Rural,Not Gone to School,Housewife,Muslim,MGB
Rajeev Singh,20-29,Male,Rural,Not Gone to School,Student,Yadav,MGB
Vikash Mishra,30-39,Male,Rural,Not Gone to School,Skilled Professional,OBC,NDA
Sanjay Khatoon,20-29,Male,Rural,12th Pass,Labour,EBC,NDA
Mohammad Yadav,30-39,Male,Rural,10th Pass,Others,OBC,NDA
Sanjay Manjhi,20-29,Male,Rural,12th Pass,Pvt. Service,Muslim,MGB
Vikash Mishra,50-59,Male,Rural,Graduate,Pvt. Service,EBC,NDA
Ranjeet Mishra,20-29,Male,Rural,10th Pass,Farmer,EBC,MGB
Rekha Ansari,50-59,Female,Rural,Graduate,Pvt. Service,EBC,Others
Mohammad Kumar,50-59,Male,Rural,Not Gone to School,Student,Yadav,MGB
Abdul Choudhary,20-29,Male,Urban,10th Pass,Farmer,SC,Others
Vikash Sharma,20-29,Male,Rural,Graduate,Skilled Professional,General,JSP
Rekha Paswan,20-29,Female,Rural,Not Gone to School,Student,Muslim,MGB
Priyanka Kumar,40-49,Female,Urban,Not Gone to School,Student,EBC,MGB
Vikash Yadav,50-59,Male,Urban,10th Pass,Student,General,NDA
Rajeev Singh,60-69,Male,Rural,Graduate,Farmer,Muslim,MGB
Rajeev Kumar,30-39,Male,Rural,12th Pass,Housewife,General,Others
Priyanka Yadav,30-39,Female,Rural,Not Gone to School,Others,EBC,NDA
Rajeev Choudhary,70 & Above,Male,Rural,10th Pass,Pvt. Service,SC,Others
Fatima Paswan,50-59,Female,Rural,Upto 9th,Skilled Professional,Yadav,MGB
Rekha Kumar,30-39,Female,Rural,12th Pass,Farmer,SC,MGB
Amit Khatoon,20-29,Male,Rural,Not Gone to School,Self Occupation & Small Shop,OBC,MGB
Ranjeet Manjhi,30-39,Male,Rural,Not Gone to School,Farmer,SC,NDA
Rekha Yadav,50-59,Female,Rural,Not Gone to School,Housewife,ST,NDA
Fatima Yadav,60-69,Female,Rural,10th Pass,Others,Muslim,MGB
Pooja Ansari,50-59,Female,Rural,12th Pass,Farmer,General,NDA
Vikash Mishra,20-29,Male,Rural,12th Pass,Others,OBC,NDA
Abdul Ali,30-39,Male,Rural,10th Pass,Pvt. Service,Yadav,MGB
Aisha Singh,40-49,Female,Urban,Upto 9th,Housewife,Yadav,MGB
Priyanka Sharma,30-39,Female,Urban,Upto 9th,Self Occupation & Small Shop,General,NDA
Rekha Ansari,40-49,Female,Rural,Not Gone to School,Housewife,Muslim,NDA
Deepak Singh,50-59,Male,Rural,10th Pass,Student,General,NDA
Rajeev Kumar,18-19,Male,Rural,10th Pass,Student,OBC,NDA
Pooja Mishra,20-29,Female,Urban,Not Gone to School,Housewife,General,NDA
Ranjeet Yadav,30-39,Male,Rural,12th Pass,Housewife,SC,NDA
Rahul Sharma,20-29,Male,Rural,Not Gone to School,Others,Yadav,MGB
Kavita Ansari,50-59,Female,Rural,Upto 9th,Others,Yadav,MGB
Neha Yadav,20-29,Female,Rural,Not Gone to School,Housewife,Muslim,MGB
Mukesh Kumar,40-49,Male,Rural,Not Gone to School,Self Occupation & Small Shop,EBC,NDA
Sanjay Mishra,30-39,Male,Rural,12th Pass,Housewife,OBC,NDA
Pooja Yadav,70 & Above,Female,Rural,10th Pass,Housewife,OBC,Others
Ranjeet Yadav,20-29,Male,Rural,10th Pass,Others,OBC,NDA
Deepak Yadav,40-49,Male,Rural,Not Gone to School,Housewife,General,NDA
Amit Kumar,20-29,Male,Rural,Graduate,Housewife,EBC,NDA
Rekha Khatoon,20-29,Female,Urban,12th Pass,Labour,Yadav,MGB
Deepak Mishra,20-29,Male,Rural,Not Gone to School,Pvt. Service,SC,JSP
Kavita Yadav,30-39,Female,Rural,Graduate,Farmer,SC,MGB
Ranjeet Paswan,70 & Above,Male,Rural,Not Gone to School,Pvt. Service,OBC,NDA
Vikash Ansari,40-49,Male,Urban,Upto 9th,Unemployed,EBC,Others
Mukesh Ansari,60-69,Male,Rural,10th Pass,Unemployed,Muslim,MGB
Abdul Khatoon,40-49,Male,Rural,Upto 9th,Housewife,General,MGB
Sunita Khatoon,60-69,Female,Rural,Graduate,Farmer,General,Others
Sanjay Kumar,30-39,Male,Rural,Not Gone to School,Student,Yadav,MGB
Amit Ali,30-39,Male,Rural,10th Pass,Unemployed,General,NDA
Mohammad Manjhi,60-69,Male,Rural,Not Gone to School,Labour,General,NDA
Abdul Khatoon,40-49,Male,Urban,10th Pass,Farmer,SC,NDA
Rekha Ansari,50-59,Female,Rural,Upto 9th,Self Occupation & Small Shop,EBC,NDA
Rekha Singh,20-29,Female,Rural,10th Pass,Farmer,Muslim,MGB
Deepak Sharma,20-29,Male,Urban,Upto 9th,Pvt. Service,OBC,NDA
Manju Mishra,30-39,Female,Rural,Upto 9th,Labour,ST,NDA
Pooja Choudhary,50-59,Female,Rural,12th Pass,Labour,Yadav,MGB
Vikash Khatoon,20-29,Male,Rural,Upto 9th,Farmer,EBC,NDA
Priyanka Singh,20-29,Female,Rural,Professional Education,Pvt. Service,SC,MGB
Kavita Yadav,50-59,Female,Rural,Not Gone to School,Farmer,General,NDA
Sanjay Ali,40-49,Male,Rural,10th Pass,Unemployed,Muslim,MGB
Mukesh Kumar,18-19,Male,Rural,12th Pass,Farmer,Muslim,MGB
Abdul Manjhi,40-49,Male,Rural,Not Gone to School,Pvt. Service,Yadav,MGB
Vikash Choudhary,60-69,Male,Rural,12th Pass,Farmer,Yadav,MGB
Vikash Singh,50-59,Male,Rural,Not Gone to School,Labour,General,NDA
Sunita Manjhi,20-29,Female,Rural,Post-Graduate,Labour,OBC,NDA
Rajeev Yadav,40-49,Male,Rural,Not Gone to School,Housewife,OBC,NDA
Fatima Mishra,40-49,Female,Rural,Upto 9th,Pvt. Service,SC,MGB
Ranjeet Singh,20-29,Male,Rural,Upto 9th,Labour,EBC,NDA
Ranjeet Ansari,30-39,Male,Urban,Graduate,Unemployed,EBC,NDA
Pooja Choudhary,30-39,Female,Rural,Professional Education,Others,EBC,NDA
Aisha Choudhary,20-29,Female,Rural,Not Gone to School,Farmer,EBC,NDA
Anita Mishra,60-69,Female,Rural,Not Gone to School,Pvt. Service,General,NDA
Sunita Ansari,20-29,Female,Urban,Upto 9th,Farmer,EBC,MGB
Amit Singh,20-29,Male,Rural,Not Gone to School,Labour,EBC,MGB
Sunita Manjhi,20-29,Female,Rural,Upto 9th,Farmer,Yadav,MGB
Mukesh Sharma,30-39,Male,Rural,Upto 9th,Housewife,Yadav,NDA
Mohammad Kumar,30-39,Male,Rural,Graduate,Housewife,EBC,NDA
Rajeev Mishra,50-59,Male,Rural,Not Gone to School,Labour,EBC,Others
Pooja Khatoon,60-69,Female,Rural,Not Gone to School,Labour,EBC,Others
Manju Khatoon,50-59,Female,Rural,12th Pass,Others,OBC,MGB
Abdul Sharma,60-69,Male,Rural,12th Pass,Pvt. Service,SC,NDA
Kavita Manjhi,50-59,Female,Rural,Graduate,Student,OBC,NDA
Priyanka Manjhi,20-29,Female,Urban,Not Gone to School,Labour,Muslim,Others
Deepak Kumar,40-49,Male,Rural,Not Gone to School,Farmer,OBC,NDA
Manju Paswan,50-59,Female,Rural,Graduate,Farmer,SC,MGB
Vikash Manjhi,20-29,Male,Rural,Not Gone to School,Housewife,General,NDA
Anita Ali,40-49,Female,Rural,Graduate,Farmer,Yadav,MGB
Abdul Singh,30-39,Male,Rural,10th Pass,Labour,EBC,MGB
Fatima Paswan,20-29,Female,Rural,Upto 9th,Farmer,Muslim,NDA
Deepak Ansari,40-49,Male,Urban,Graduate,Unemployed,Muslim,Others
Sunita Choudhary,30-39,Female,Rural,Not Gone to School,Skilled Professional,Yadav,MGB
Aisha Ali,60-69,Female,Rural,12th Pass,Labour,General,NDA
Amit Ali,60-69,Male,Rural,Not Gone to School,Farmer,Yadav,MGB
Abdul Ali,20-29,Male,Rural,Graduate,Labour,OBC,NDA
Mukesh Kumar,30-39,Male,Urban,Upto 9th,Others,Yadav,MGB
Deepak Kumar,60-69,Male,Rural,Not Gone to School,Pvt. Service,OBC,NDA
Sanjay Manjhi,30-39,Male,Rural,10th Pass,Farmer,EBC,NDA
Ranjeet Singh,20-29,Male,Rural,Graduate,Skilled Professional,SC,NDA
